 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    0.0000    1.0000    5.0000    5.0000    2.7244    0.4209    4.2339    0.0000  1.0000E-10      0.0000  4.2152E+03
    5.2008    1.0000    5.0000    5.0000    2.7336    0.4313    4.2310    0.0000  1.0000E-10      0.0000  4.1060E+03
   10.4016    1.0000    5.0000    5.0000    2.7438    0.4419    4.2282    0.0000  1.0000E-10      0.0000  3.9975E+03
   15.6024    1.0000    5.0000    5.0000    2.7548    0.4527    4.2256    0.0000  1.0000E-10      0.0000  3.8885E+03
   20.8032    1.0000    5.0000    5.0000    2.7667    0.4638    4.2230    0.0000  1.0000E-10      0.0000  3.7781E+03
   26.0040    1.0000    5.0000    5.0000    2.7794    0.4754    4.2204    0.0000  1.0000E-10      0.0000  3.6653E+03
   31.2048    1.0000    5.0000    5.0000    2.7931    0.4875    4.2178    0.0000  1.0000E-10      0.0000  3.5495E+03
   36.4057    1.0000    5.0000    5.0000    2.8077    0.5003    4.2150    0.0000  1.0000E-10      0.0000  3.4299E+03
   41.6065    1.0000    5.0000    5.0000    2.8231    0.5139    4.2121    0.0000  1.0000E-10      0.0000  3.3058E+03
   46.8073    1.0000    5.0000    5.0000    2.8394    0.5284    4.2089    0.0000  1.0000E-10      0.0000  3.1768E+03
   52.0081    1.0000    5.0000    5.0000    2.8566    0.5439    4.2055    0.0000  1.0000E-10      0.0000  3.0423E+03
   57.2089    1.0000    5.0000    5.0000    2.8747    0.5606    4.2016    0.0000  1.0000E-10      0.0000  2.9016E+03
   62.4097    1.0000    5.0000    5.0000    2.8936    0.5787    4.1973    0.0000  1.0000E-10      0.0000  2.7541E+03
   67.6105    1.0000    5.0000    5.0000    2.9135    0.5986    4.1923    0.0000  1.0000E-10      0.0000  2.5985E+03
   72.8113    1.0000    5.0000    5.0000    2.9342    0.6207    4.1865    0.0000  1.0000E-10      0.0000  2.4328E+03
   78.0121    1.0000    5.0000    5.0000    2.9558    0.6458    4.1793    0.0000  1.0000E-10      0.0000  2.2544E+03
   83.2129    1.0000    5.0000    5.0000    2.9783    0.6750    4.1704    0.0000  1.0000E-10      0.0000  2.0591E+03
   88.4137    1.0000    5.0000    5.0000    3.0017    0.7100    4.1587    0.0000  1.0000E-10      0.0000  1.8417E+03
   93.3225    1.0000    5.0000    5.0000    3.0246    0.7508    4.1440    0.0000  1.0000E-10      0.0000  1.6114E+03
   97.2492    1.0000    5.0000    5.0000    3.0435    0.7910    4.1286    0.0000  1.0000E-10      0.0000  1.4072E+03
  100.4825    1.0000    5.0000    5.0000    3.0594    0.8309    4.1127    0.0000  1.0000E-10      0.0000  1.2259E+03
  104.0162    2.0000    5.0000    5.0000    3.1787    0.7883    4.1638    0.8433  1.0000E-10      0.0000  1.7066E+03
  104.0361    2.0000    5.0000    5.0000    3.1673    0.8294    4.1404    0.8441  1.0000E-10     -0.0004  1.4814E+03
  104.0560    2.0000    5.0000    5.0000    3.1560    0.8705    4.1170    0.8449  1.0000E-10     -0.0008  1.2813E+03
  104.0759    2.0000    5.0000    5.0000    3.1446    0.9116    4.0936    0.8457  1.0000E-10     -0.0012  1.1047E+03
  104.0958    2.0000    5.0000    5.0000    3.1333    0.9527    4.0702    0.8465  1.0000E-10     -0.0016  9.4944E+02
